#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"
45.5%	9100	-178524.22055326938	299.4843249530889	1.0545498471136767	16.8
46.0%	9200	-178108.49693565388	303.44705379682904	1.0536763479282418	16.8
46.5%	9300	-178701.38672366802	302.52219742640784	1.0536763479282418	16.8
47.0%	9400	-178495.55888395838	299.66691645581005	1.0567125883373476	16.8
47.5%	9500	-178643.79175561693	299.3090233448661	1.0573364353683716	16.8
48.0%	9600	-178571.7198390946	298.842202718589	1.0561370546743611	16.8
48.5%	9700	-178688.2343280056	297.5557465240896	1.0525174536600344	16.8
49.0%	9800	-178484.7216526992	293.69333623829294	1.0504188516390782	16.8
49.5%	9900	-178759.51456891999	296.8921939836653	1.0534236732815625	16.9
50.0%	10000	-178655.14920786634	297.2143481962983	1.0534236732815625	16.9
50.5%	10100	-178972.74419546538	301.871965918808	1.0534236732815625	16.9
51.0%	10200	-178901.82616032698	299.66487116971643	1.0531444616131995	16.9
51.5%	10300	-178870.26248424145	304.46219113664824	1.0507582275368008	16.9
52.0%	10400	-178665.91739908763	300.75219967203435	1.0487613055536649	16.9
52.5%	10500	-178490.15637399943	300.9076333806304	1.0487613055536649	16.9
53.0%	10600	-178008.56351843243	295.80686034599694	1.048826224855416	16.9
53.5%	10700	-178282.68661694232	296.32284400056716	1.0523880786424298	16.9
54.0%	10800	-178779.56048391413	303.3458316974368	1.0523880786424298	16.8
54.5%	10900	-178331.45894934653	297.9704948520608	1.0589507022896116	16.8
55.0%	11000	-178207.06928089072	297.0241181970533	1.0544310845066578	16.8
55.5%	11100	-178464.62369072784	301.54578918178754	1.0554824094866913	16.8
56.0%	11200	-178296.7081137336	304.12104337463796	1.0523311408506482	16.8
56.5%	11300	-177945.45562779615	300.51951222418336	1.053563817684035	16.8
57.0%	11400	-178729.00748626588	307.32353010569625	1.052256161501231	16.8
57.5%	11500	-177988.9638855022	299.2833617546524	1.052256161501231	16.8
58.0%	11600	-178314.60264797145	302.9690163607703	1.0525526428563428	16.8
58.5%	11700	-178565.15377739377	304.55675791008485	1.0538051272544016	16.8
59.0%	11800	-178373.23490663045	301.8442274324198	1.0536977667086456	16.9
59.5%	11900	-178185.72732014698	298.90061907906204	1.053253132573335	16.9
60.0%	12000	-178671.9481254217	301.4941425450284	1.0548750720230449	16.9
60.5%	12100	-178892.82489194526	304.5449586842676	1.0560740206759585	16.9
61.0%	12200	-178472.4617446922	297.27850464160747	1.0535144160624246	16.9
61.5%	12300	-178837.62799595366	301.8913860482493	1.0535144160624246	16.9
62.0%	12400	-178755.92530577502	299.7729891953321	1.057655937777391	16.9
62.5%	12500	-178877.57262064752	301.92190645491837	1.0562402197562029	16.9
63.0%	12600	-178377.83747456974	295.6142155824124	1.0492938599392647	16.9
63.5%	12700	-178967.89190013742	299.3924349302041	1.049045122003272	16.9
64.0%	12800	-178813.55336845882	297.1607121832482	1.050433424299606	16.9
64.5%	12900	-178272.08489275372	297.9997910305018	1.050433424299606	16.9
65.0%	13000	-178411.80918168757	302.95868587600785	1.052443183775973	16.9
65.5%	13100	-178629.9611650348	301.87606291050565	1.0581517549384207	16.9
66.0%	13200	-179145.74705567447	302.5641478313001	1.0580455233596735	16.9
66.5%	13300	-179039.8778655743	301.30281958454896	1.0572538638431959	16.9
67.0%	13400	-179066.22109284188	305.7635395153749	1.055185527230702	16.9
67.5%	13500	-178610.56474769695	299.16762076392797	1.0555503413723593	16.9
68.0%	13600	-178181.37962944276	300.84083371166224	1.0579349768671797	16.9
68.5%	13700	-178488.5583450425	302.06763452214597	1.0577879623873057	16.9
69.0%	13800	-178173.29863759267	301.78150819416896	1.0565036938579548	16.9
69.5%	13900	-178645.90999937637	306.38760895130713	1.0558571753456	16.9
